epoch,step,train_loss
1,99,836.3602294921875
2,199,839.4481811523438
4,299,839.8322143554688
5,399,816.1456909179688
6,499,819.8595581054688
8,599,796.6099853515625
9,699,808.234619140625
10,799,753.6129760742188
12,899,788.769287109375
13,999,819.689697265625
14,1099,783.2579345703125
16,1199,796.6785888671875
17,1299,850.8724365234375
18,1399,847.3546142578125
20,1499,827.2718505859375
21,1599,806.1495361328125
22,1699,804.714599609375
24,1799,808.7554931640625
25,1899,811.8335571289062
27,1999,830.7327880859375
28,2099,770.422119140625
29,2199,801.5709228515625
31,2299,793.6849365234375
32,2399,849.82275390625
33,2499,811.9593505859375
35,2599,831.8475341796875
36,2699,776.931396484375
37,2799,780.4977416992188
39,2899,833.0269775390625
40,2999,821.1832275390625
41,3099,839.1365966796875
43,3199,806.4434814453125
44,3299,791.521240234375
45,3399,795.5267333984375
47,3499,789.7452392578125
48,3599,790.5044555664062
49,3699,440.8743896484375
51,3799,842.0355834960938
52,3899,790.728515625
54,3999,818.0618896484375
55,4099,803.6123046875
56,4199,773.2803955078125
58,4299,815.7529296875
59,4399,785.5864868164062
60,4499,811.4171752929688
62,4599,771.6622314453125
63,4699,846.1339111328125
64,4799,783.97412109375
66,4899,804.2474365234375
67,4999,818.0684814453125
68,5099,767.8128662109375
70,5199,800.748291015625
71,5299,782.6710205078125
72,5399,802.4095458984375
74,5499,789.9542236328125
75,5599,793.5285034179688
77,5699,802.3870849609375
78,5799,760.23779296875
79,5899,836.3126831054688
81,5999,791.048828125
82,6099,791.8609619140625
83,6199,765.79833984375
85,6299,838.699462890625
86,6399,849.3973388671875
87,6499,829.6328125
89,6599,805.1436767578125
90,6699,801.7379150390625
91,6799,767.9608154296875
93,6899,754.13330078125
94,6999,776.631591796875
95,7099,800.5780029296875
97,7199,817.0079345703125
98,7299,790.4561767578125
99,7399,428.74603271484375
