epoch,step,train_loss
0,99,84.2886962890625
0,199,88.91708374023438
0,299,80.31121063232422
0,399,83.26312255859375
0,499,71.30712890625
0,599,88.18492126464844
0,699,76.08202362060547
1,799,83.7537612915039
1,899,84.8697280883789
1,999,73.31231689453125
1,1099,78.39231872558594
1,1199,82.13389587402344
1,1299,89.93850708007812
1,1399,78.15798950195312
1,1499,79.5542984008789
2,1599,77.96127319335938
2,1699,73.8134765625
2,1799,81.56993865966797
2,1899,75.17990112304688
2,1999,75.89860534667969
2,2099,80.85655975341797
2,2199,75.45245361328125
3,2299,77.64256286621094
3,2399,71.46064758300781
3,2499,74.29363250732422
3,2599,72.91273498535156
3,2699,83.86515808105469
3,2799,77.63020324707031
3,2899,62.78082275390625
3,2999,80.46977233886719
4,3099,89.70658874511719
4,3199,74.56956481933594
4,3299,73.92510986328125
4,3399,91.72547912597656
4,3499,88.64421844482422
4,3599,85.83566284179688
4,3699,81.68170166015625
5,3799,80.27742767333984
5,3899,70.42359924316406
5,3999,88.19802856445312
5,4099,73.03225708007812
5,4199,81.13872528076172
5,4299,82.97830200195312
5,4399,92.72509765625
5,4499,84.58512115478516
6,4599,69.3402328491211
6,4699,81.09628295898438
6,4799,69.37265014648438
6,4899,75.21833038330078
